Date,trfusd,trfusdvar,Value
8/23/2018,158445.4105,-15.30049107,159608.2992
8/22/2018,187067.685,71.3658244,158445.4105
8/21/2018,109162.7725,3.075733126,187067.685
8/20/2018,105905.4048,-34.29076738,109162.7725
8/19/2018,161172.792,5.669330995,105905.4048
8/18/2018,152525.6103,8.16047158,161172.792
8/17/2018,141017.8858,-11.90934116,152525.6103
8/16/2018,160082.6781,26.60888265,141017.8858
8/15/2018,126438.7417,56.82066138,160082.6781
8/14/2018,80626.32856,-15.44547423,126438.7417
8/13/2018,95354.2437,-26.97713609,80626.32856
8/12/2018,130581.353,-1.622039496,95354.2437
8/11/2018,132734.3567,-0.833992869,130581.353
8/10/2018,133850.6617,4.493627062,132734.3567
8/9/2018,128094.5694,2.595129747,133850.6617
8/8/2018,124854.4349,30.7079226,128094.5694
8/7/2018,95521.70395,-25.32705099,124854.4349
8/6/2018,127920.0905,-27.05551381,95521.70395
8/5/2018,175366.3603,-8.365987882,127920.0905
8/4/2018,191376.9312,16.77269697,175366.3603
8/3/2018,163888.4227,-21.50380242,191376.9312
8/2/2018,208785.174,2.975317588,163888.4227
8/1/2018,202752.6391,57.79774513,208785.174
7/31/2018,128488.933,-5.810055222,202752.6391
7/30/2018,136414.7026,-17.06456865,128488.933
7/29/2018,164483.0206,-15.99752667,136414.7026
7/28/2018,195807.3543,-13.45668506,164483.0206
7/27/2018,226253.5869,-0.979650867,195807.3543
7/26/2018,228492.0108,18.00872317,226253.5869
7/25/2018,193622.9837,76.71075273,228492.0108
7/24/2018,109570.5727,-14.00964694,193622.9837
7/23/2018,127421.936,-26.44587055,109570.5727
7/22/2018,173235.598,-17.97961879,127421.936
7/21/2018,211210.4278,-9.847516253,173235.598
7/20/2018,234281.3187,40.87075252,211210.4278
7/19/2018,166309.411,10.69907902,234281.3187
7/18/2018,150235.5868,56.82250001,166309.411
7/17/2018,95799.76521,2.776393,150235.5868
7/16/2018,93211.83825,-22.57007215,95799.76521
7/15/2018,120382.1841,1.048144467,93211.83825
7/14/2018,119133.4929,-9.035292944,120382.1841
7/13/2018,130966.7197,-14.54200454,119133.4929
7/12/2018,153252.7402,14.41910046,130966.7197
7/11/2018,133939.8226,29.44601016,153252.7402
7/10/2018,103471.5728,-5.711434455,133939.8226
7/9/2018,109739.2586,-22.34129236,103471.5728
7/8/2018,141309.6637,6.759622659,109739.2586
7/7/2018,132362.4608,-7.205421384,141309.6637
