Date,ntrbl,ntrblvar,Value
7/21/2016,2364.592814,-5.01623817,1516.19
7/20/2016,2364.592814,-5.01623817,1735.51
7/19/2016,2364.592814,-5.01623817,1515.61
7/18/2016,2364.592814,-5.01623817,1147.73
7/17/2016,2364.592814,-5.01623817,1160.45
7/16/2016,2364.592814,-5.01623817,1600.59
7/15/2016,2364.592814,-5.01623817,1553.9
7/14/2016,2364.592814,-5.01623817,1677.63
7/13/2016,2364.592814,-5.01623817,1531.7
7/12/2016,2364.592814,-5.01623817,1525.09
7/11/2016,2364.592814,-5.01623817,1042.35
7/10/2016,2364.592814,-5.01623817,1244.32
7/9/2016,2364.592814,-5.01623817,1453.11
7/8/2016,2364.592814,-5.01623817,1571.1
7/7/2016,2364.592814,-5.01623817,1533.5
7/6/2016,2364.592814,-5.01623817,1482.47
7/5/2016,2364.592814,-5.01623817,1416.55
7/4/2016,2364.592814,-5.01623817,1150.17
7/3/2016,2364.592814,-5.01623817,1334.73
7/2/2016,2364.592814,-5.01623817,1340.18
