date,open,close,volume,pricevar,classes,,prevopen,prevclose,logprevvol,prevpricevar,prevclasses,classes,
16-Jun-18,6455.45,6550.16,"3,194,170,112",1.467132423,4,,6674.08,6456.58,22.09834503,-3.25887613,2,4,
17-Jun-18,6545.53,6499.27,"3,104,019,968",-0.706741853,3,,6455.45,6550.16,21.88459315,1.467132423,4,3,
18-Jun-18,6510.07,6734.82,"4,039,200,000",3.45234383,5,,6545.53,6499.27,21.85596387,-0.706741853,3,5,
19-Jun-18,6742.39,6769.94,"4,057,029,888",0.408608817,4,,6510.07,6734.82,22.11931249,3.45234383,5,4,
20-Jun-18,6770.76,6776.55,"3,888,640,000",0.085514772,4,,6742.39,6769.94,22.12371699,0.408608817,4,4,
21-Jun-18,6780.09,6729.74,"3,529,129,984",-0.742615511,3,,6770.76,6776.55,22.08132532,0.085514772,4,3,
22-Jun-18,6737.88,6083.69,"5,079,810,048",-9.709136999,1,,6780.09,6729.74,21.98431721,-0.742615511,3,1,
23-Jun-18,6090.1,6162.48,"3,431,360,000",1.188486232,4,,6737.88,6083.69,22.34853971,-9.709136999,1,4,
24-Jun-18,6164.28,6173.23,"4,566,909,952",0.145191328,4,,6090.1,6162.48,21.95622252,1.188486232,4,4,
25-Jun-18,6171.97,6249.18,"5,500,810,240",1.250978213,4,,6164.28,6173.23,22.24210265,0.145191328,4,4,
26-Jun-18,6253.55,6093.67,"3,279,759,872",-2.556627835,2,,6171.97,6249.18,22.42816123,1.250978213,4,2,
27-Jun-18,6084.4,6157.13,"3,296,219,904",1.195352048,4,,6253.55,6093.67,21.91103605,-2.556627835,2,4,
28-Jun-18,6153.16,5903.44,"3,467,800,064",-4.058402512,1,,6084.4,6157.13,21.91604217,1.195352048,4,1,
29-Jun-18,5898.13,6218.3,"3,966,230,016",5.428330674,6,,6153.16,5903.44,21.96678624,-4.058402512,1,6,
30-Jun-18,6214.22,6404,"4,543,860,224",3.053963329,5,,5898.13,6218.3,22.10108186,5.428330674,6,5,
1-Jul-18,6411.68,6385.82,"4,788,259,840",-0.403326429,3,,6214.22,6404,22.23704276,3.053963329,5,3,
2-Jul-18,6380.38,6614.18,"4,396,930,048",3.664358549,6,,6411.68,6385.82,22.28943289,-0.403326429,3,6,
3-Jul-18,6596.66,6529.59,"4,672,309,760",-1.016726647,3,,6380.38,6614.18,22.20417242,3.664358549,6,3,
4-Jul-18,6550.87,6597.55,"4,176,689,920",0.712577108,4,,6596.66,6529.59,22.26491938,-1.016726647,3,4,
5-Jul-18,6599.71,6639.14,"4,999,240,192",0.597450494,4,,6550.87,6597.55,22.15278488,0.712577108,4,4,
6-Jul-18,6638.69,6673.5,"4,313,959,936",0.524350437,4,,6599.71,6639.14,22.33255178,0.597450494,4,4,
