us13wdate,us13wopen,us13whigh,us13wlow,us13wclose,us13wadjclose
21-Mar-12,0.09,0.095,0.085,0.085,0.085
22-Mar-12,0.08,0.085,0.065,0.07,0.07
23-Mar-12,0.065,0.075,0.065,0.07,0.07
26-Mar-12,0.07,0.075,0.07,0.07,0.07
27-Mar-12,0.08,0.08,0.075,0.08,0.08
28-Mar-12,0.08,0.08,0.075,0.075,0.075
29-Mar-12,0.07,0.07,0.055,0.055,0.055
30-Mar-12,0.06,0.065,0.06,0.065,0.065
2-Apr-12,0.065,0.065,0.055,0.06,0.06
3-Apr-12,0.065,0.075,0.065,0.075,0.075
4-Apr-12,0.07,0.075,0.065,0.07,0.07
5-Apr-12,0.065,0.07,0.065,0.07,0.07
9-Apr-12,0.065,0.075,0.065,0.075,0.075
10-Apr-12,0.08,0.085,0.08,0.085,0.085
11-Apr-12,0.08,0.085,0.08,0.085,0.085
12-Apr-12,0.08,0.085,0.08,0.085,0.085
13-Apr-12,0.08,0.085,0.08,0.08,0.08
16-Apr-12,0.075,0.08,0.075,0.075,0.075
17-Apr-12,0.075,0.075,0.075,0.075,0.075
18-Apr-12,0.075,0.075,0.065,0.065,0.065
19-Apr-12,0.065,0.065,0.06,0.065,0.065
20-Apr-12,0.065,0.07,0.065,0.065,0.065
23-Apr-12,0.065,0.075,0.065,0.07,0.07
24-Apr-12,0.075,0.085,0.075,0.08,0.08
25-Apr-12,0.085,0.09,0.08,0.085,0.085
26-Apr-12,0.08,0.09,0.08,0.085,0.085
27-Apr-12,0.085,0.09,0.085,0.085,0.085
30-Apr-12,0.09,0.095,0.09,0.09,0.09
1-May-12,0.095,0.1,0.085,0.085,0.085
2-May-12,0.085,0.085,0.08,0.08,0.08
3-May-12,0.075,0.08,0.07,0.075,0.075
4-May-12,0.075,0.075,0.065,0.07,0.07
7-May-12,0.075,0.085,0.075,0.075,0.075
8-May-12,0.085,0.09,0.085,0.09,0.09
9-May-12,0.085,0.09,0.085,0.09,0.09
10-May-12,0.09,0.095,0.09,0.09,0.09
11-May-12,0.085,0.095,0.085,0.09,0.09
14-May-12,0.09,0.09,0.085,0.085,0.085
15-May-12,0.09,0.095,0.09,0.09,0.09
16-May-12,0.095,0.095,0.09,0.095,0.095
17-May-12,0.09,0.095,0.09,0.09,0.09
18-May-12,0.09,0.09,0.075,0.075,0.075
21-May-12,0.055,0.07,0.055,0.06,0.06
22-May-12,0.08,0.085,0.08,0.085,0.085
23-May-12,0.085,0.085,0.08,0.08,0.08
24-May-12,0.085,0.09,0.085,0.09,0.09
25-May-12,0.09,0.09,0.08,0.08,0.08
29-May-12,0.08,0.085,0.075,0.075,0.075
30-May-12,0.075,0.075,0.06,0.065,0.065
31-May-12,0.065,0.07,0.05,0.06,0.06
1-Jun-12,0.055,0.065,0.055,0.065,0.065
4-Jun-12,0.065,0.07,0.06,0.065,0.065
5-Jun-12,0.075,0.085,0.075,0.08,0.08
6-Jun-12,0.08,0.085,0.08,0.08,0.08
7-Jun-12,0.08,0.085,0.075,0.08,0.08
8-Jun-12,0.075,0.085,0.075,0.08,0.08
11-Jun-12,0.08,0.08,0.075,0.075,0.075
12-Jun-12,0.085,0.1,0.085,0.09,0.09
